Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,salary,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,,,,,,,,,,,,
24,No,Travel_Rarely,1127,Research & Development,18,1,3456,1,150,2,,,,,,,,,,,,
34,No,Travel_Rarely,1031,Research & Development,6,4,3456,1,151,3,,,,,,,,,,,,
37,No,Travel_Rarely,1189,Sales,3,3,3456,1,152,3,,,,,,,,,,,,
34,No,Travel_Rarely,1354,Research & Development,5,3,3456,1,153,3,,,,,,,,,,,,
36,No,Travel_Frequently,1467,Sales,11,2,3456,1,154,2,,,,,,,,,,,,
36,No,Travel_Rarely,922,Research & Development,3,2,3456,1,155,1,,,,,,,,,,,,
43,No,Travel_Frequently,394,Sales,26,2,3456,1,158,3,,,,,,,,,,,,
30,No,Travel_Frequently,1312,Research & Development,23,3,3456,1,159,1,,,,,,,,,,,,
33,No,Non-Travel,750,Sales,22,2,3456,1,160,3,,,,,,,,,,,,
56,Yes,Travel_Rarely,441,Research & Development,14,4,3456,1,161,2,,,,,,,,,,,,
51,No,Travel_Rarely,684,Research & Development,6,3,3456,1,162,1,,,,,,,,,,,,
31,Yes,Travel_Rarely,249,Sales,6,4,3456,1,163,2,,,,,,,,,,,,
26,No,Travel_Rarely,841,Research & Development,6,3,3456,1,164,3,,,,,,,,,,,,
58,Yes,Travel_Rarely,147,Research & Development,23,4,3456,1,165,4,,,,,,,,,,,,
19,Yes,Travel_Rarely,528,Sales,22,1,3456,1,167,4,,,,,,,,,,,,
22,No,Travel_Rarely,594,Research & Development,2,1,3456,1,169,3,,,,,,,,,,,,
49,No,Travel_Rarely,470,Research & Development,20,4,3456,1,170,3,,,,,,,,,,,,
43,No,Travel_Frequently,957,Research & Development,28,3,3456,1,171,2,,,,,,,,,,,,
50,No,Travel_Frequently,809,Sales,12,3,3456,1,174,3,,,,,,,,,,,,
31,Yes,Travel_Rarely,542,Sales,20,3,3456,1,175,2,,,,,,,,,,,,
41,No,Travel_Rarely,802,Sales,9,1,3456,1,176,3,,,,,,,,,,,,
26,No,Travel_Rarely,1355,Human Resources,25,1,3456,1,177,3,,,,,,,,,,,,
36,No,Travel_Rarely,216,Research & Development,6,2,3456,1,178,2,,,,,,,,,,,,
51,Yes,Travel_Frequently,1150,Research & Development,8,4,3456,1,179,1,,,,,,,,,,,,
39,No,Travel_Rarely,1329,Sales,4,4,3456,1,182,4,,,,,,,,,,,,
25,No,Travel_Rarely,959,Sales,28,3,3456,1,183,1,,,,,,,,,,,,
30,No,Travel_Rarely,1240,Human Resources,9,3,3456,1,184,3,,,,,,,,,,,,
32,Yes,Travel_Rarely,1033,Research & Development,9,3,3456,1,190,1,,,,,,,,,,,,
45,No,Travel_Rarely,1316,Research & Development,29,3,3456,1,192,3,,,,,,,,,,,,
38,No,Travel_Rarely,364,Research & Development,3,5,3456,1,193,4,,,,,,,,,,,,
30,No,Travel_Rarely,438,Research & Development,18,3,3456,1,194,1,,,,,,,,,,,,
32,No,Travel_Frequently,689,Sales,9,2,3456,1,195,4,,,,,,,,,,,,
30,No,Travel_Rarely,201,Research & Development,5,3,3456,1,197,4,,,,,,,,,,,,
30,No,Travel_Rarely,1427,Research & Development,2,1,3456,1,198,2,,,,,,,,,,,,
41,No,Travel_Frequently,857,Research & Development,10,3,3456,1,199,4,,,,,,,,,,,,
41,No,Travel_Rarely,933,Research & Development,9,4,3456,1,200,3,,,,,,,,,,,,
19,No,Travel_Rarely,1181,Research & Development,3,1,3456,1,201,2,,,,,,,,,,,,
40,No,Travel_Frequently,1395,Research & Development,26,3,3456,1,202,2,,,,,,,,,,,,
35,No,Travel_Rarely,662,Sales,1,5,3456,1,204,3,,,,,,,,,,,,
53,No,Travel_Rarely,1436,Sales,6,2,3456,1,205,2,,,,,,,,,,,,
45,No,Travel_Rarely,194,Research & Development,9,3,3456,1,206,2,,,,,,,,,,,,
32,No,Travel_Frequently,967,Sales,8,3,3456,1,207,2,,,,,,,,,,,,
29,No,Non-Travel,1496,Research & Development,1,1,3456,1,208,4,,,,,,,,,,,,
51,No,Travel_Rarely,1169,Research & Development,7,4,3456,1,211,2,,,,,,,,,,,,
58,No,Travel_Rarely,1145,Research & Development,9,3,3456,1,214,2,,,,,,,,,,,,
40,No,Travel_Rarely,630,Sales,4,4,3456,1,215,3,,,,,,,,,,,,
34,No,Travel_Frequently,303,Sales,2,4,3456,1,216,3,,,,,,,,,,,,
22,No,Travel_Rarely,1256,Research & Development,19,1,3456,1,217,3,,,,,,,,,,,,
27,No,Non-Travel,691,Research & Development,9,3,3456,1,218,4,,,,,,,,,,,,
28,No,Travel_Rarely,440,Research & Development,21,3,3456,1,221,3,,,,,,,,,,,,
57,No,Travel_Rarely,334,Research & Development,24,2,3456,1,223,3,,,,,,,,,,,,
27,No,Non-Travel,1450,Research & Development,3,3,3456,1,224,3,,,,,,,,,,,,
50,No,Travel_Rarely,1452,Research & Development,11,3,3456,1,226,3,,,,,,,,,,,,
41,No,Travel_Rarely,465,Research & Development,14,3,3456,1,227,1,,,,,,,,,,,,
30,No,Travel_Rarely,1339,Sales,5,3,3456,1,228,2,,,,,,,,,,,,
38,No,Travel_Rarely,702,Sales,1,4,3456,1,230,1,,,,,,,,,,,,
32,No,Travel_Rarely,120,Research & Development,6,5,3456,1,231,3,,,,,,,,,,,,
27,No,Travel_Rarely,1157,Research & Development,17,3,3456,1,233,3,,,,,,,,,,,,
19,Yes,Travel_Frequently,602,Sales,1,1,3456,1,235,3,,,,,,,,,,,,
36,No,Travel_Frequently,1480,Research & Development,3,2,3456,1,238,4,,,,,,,,,,,,
30,No,Non-Travel,111,Research & Development,9,3,3456,1,239,3,,,,,,,,,,,,
45,No,Travel_Rarely,1268,Sales,4,2,3456,1,240,3,,,,,,,,,,,,
56,No,Travel_Rarely,713,Research & Development,8,3,3456,1,241,3,,,,,,,,,,,,
33,No,Travel_Rarely,134,Research & Development,2,3,3456,1,242,3,,,,,,,,,,,,
19,Yes,Travel_Rarely,303,Research & Development,2,3,3456,1,243,2,,,,,,,,,,,,
46,No,Travel_Rarely,526,Sales,1,2,3456,1,244,2,,,,,,,,,,,,
38,No,Travel_Rarely,1380,Research & Development,9,2,3456,1,245,3,,,,,,,,,,,,
31,No,Travel_Rarely,140,Research & Development,12,1,3456,1,246,3,,,,,,,,,,,,
34,No,Travel_Rarely,629,Research & Development,27,2,3456,1,247,4,,,,,,,,,,,,
41,Yes,Travel_Rarely,1356,Sales,20,2,3456,1,248,2,,,,,,,,,,,,
50,No,Travel_Rarely,328,Research & Development,1,3,3456,1,249,3,,,,,,,,,,,,
53,No,Travel_Rarely,1084,Research & Development,13,2,3456,1,250,4,,,,,,,,,,,,
33,No,Travel_Rarely,931,Research & Development,14,3,3456,1,252,4,,,,,,,,,,,,
40,No,Travel_Rarely,989,Research & Development,4,1,3456,1,253,4,,,,,,,,,,,,
55,No,Travel_Rarely,692,Research & Development,14,4,3456,1,254,3,,,,,,,,,,,,
34,No,Travel_Frequently,1069,Research & Development,2,1,3456,1,256,4,,,,,,,,,,,,
51,No,Travel_Rarely,313,Research & Development,3,3,3456,1,258,4,,,,,,,,,,,,
52,No,Travel_Rarely,699,Research & Development,1,4,3456,1,259,3,,,,,,,,,,,,
27,No,Travel_Rarely,894,Research & Development,9,3,3456,1,260,4,,,,,,,,,,,,
35,Yes,Travel_Rarely,556,Research & Development,23,2,3456,1,261,2,,,,,,,,,,,,
43,No,Non-Travel,1344,Research & Development,7,3,3456,1,262,4,,,,,,,,,,,,
45,No,Non-Travel,1195,Research & Development,2,2,3456,1,264,1,,,,,,,,,,,,
37,No,Travel_Rarely,290,Research & Development,21,3,3456,1,267,2,,,,,,,,,,,,
35,No,Travel_Frequently,138,Research & Development,2,3,3456,1,269,2,,,,,,,,,,,,
42,No,Non-Travel,926,Research & Development,21,2,3456,1,270,3,,,,,,,,,,,,
38,No,Travel_Rarely,1261,Research & Development,2,4,3456,1,271,4,,,,,,,,,,,,
38,No,Travel_Rarely,1084,Research & Development,29,3,3456,1,273,4,,,,,,,,,,,,
27,No,Travel_Frequently,472,Research & Development,1,1,3456,1,274,3,,,,,,,,,,,,
49,No,Non-Travel,1002,Research & Development,18,4,3456,1,275,4,,,,,,,,,,,,
34,No,Travel_Frequently,878,Research & Development,10,4,3456,1,277,4,,,,,,,,,,,,
40,No,Travel_Rarely,905,Research & Development,19,2,3456,1,281,3,,,,,,,,,,,,
38,Yes,Travel_Rarely,1180,Research & Development,29,1,3456,1,282,2,,,,,,,,,,,,
29,Yes,Travel_Rarely,121,Sales,27,3,3456,1,283,2,,,,,,,,,,,,
22,No,Travel_Rarely,1136,Research & Development,5,3,3456,1,284,4,,,,,,,,,,,,
36,No,Travel_Frequently,635,Research & Development,18,1,3456,1,286,2,,,,,,,,,,,,
40,No,Non-Travel,1151,Research & Development,9,5,3456,1,287,4,,,,,,,,,,,,
46,No,Travel_Rarely,644,Research & Development,1,4,3456,1,288,4,,,,,,,,,,,,
32,Yes,Travel_Rarely,1045,Sales,4,4,3456,1,291,4,,,,,,,,,,,,
30,No,Non-Travel,829,Research & Development,1,1,3456,1,292,3,,,,,,,,,,,,
27,No,Travel_Frequently,1242,Sales,20,3,3456,1,293,4,,,,,,,,,,,,
51,No,Travel_Rarely,1469,Research & Development,8,4,3456,1,296,2,,,,,,,,,,,,
30,Yes,Travel_Rarely,1005,Research & Development,3,3,3456,1,297,4,,,,,,,,,,,,
41,No,Travel_Rarely,896,Sales,6,3,3456,1,298,4,,,,,,,,,,,,
30,Yes,Travel_Frequently,334,Sales,26,4,3456,1,299,3,,,,,,,,,,,,
29,Yes,Travel_Rarely,992,Research & Development,1,3,3456,1,300,3,,,,,,,,,,,,
45,No,Non-Travel,1052,Sales,6,3,3456,1,302,4,,,,,,,,,,,,
54,No,Travel_Rarely,1147,Sales,3,3,3456,1,303,4,,,,,,,,,,,,
36,No,Travel_Rarely,1396,Research & Development,5,2,3456,1,304,4,,,,,,,,,,,,
33,No,Travel_Rarely,147,Research & Development,4,4,3456,1,305,3,,,,,,,,,,,,
37,No,Travel_Frequently,663,Research & Development,11,3,3456,1,306,2,,,,,,,,,,,,
38,No,Travel_Rarely,119,Sales,3,3,3456,1,307,1,,,,,,,,,,,,
31,No,Non-Travel,979,Research & Development,1,4,3456,1,308,3,,,,,,,,,,,,
59,No,Travel_Rarely,142,Research & Development,3,3,3456,1,309,3,,,,,,,,,,,,
37,No,Travel_Frequently,319,Sales,4,4,3456,1,311,1,,,,,,,,,,,,
29,No,Travel_Frequently,1413,Sales,1,1,3456,1,312,2,,,,,,,,,,,,
35,No,Travel_Frequently,944,Sales,1,3,3456,1,314,3,,,,,,,,,,,,
29,Yes,Travel_Rarely,896,Research & Development,18,1,3456,1,315,3,,,,,,,,,,,,
52,No,Travel_Rarely,1323,Research & Development,2,3,3456,1,316,3,,,,,,,,,,,,
42,No,Travel_Rarely,532,Research & Development,4,2,3456,1,319,3,,,,,,,,,,,,
59,No,Travel_Rarely,818,Human Resources,6,2,3456,1,321,2,,,,,,,,,,,,
50,No,Travel_Rarely,854,Sales,1,4,3456,1,323,4,,,,,,,,,,,,
33,Yes,Travel_Rarely,813,Research & Development,14,3,3456,1,325,3,,,,,,,,,,,,
43,No,Travel_Rarely,1034,Sales,16,3,3456,1,327,4,,,,,,,,,,,,
33,Yes,Travel_Rarely,465,Research & Development,2,2,3456,1,328,1,,,,,,,,,,,,
52,No,Non-Travel,771,Sales,2,4,3456,1,329,1,,,,,,,,,,,,
32,No,Travel_Rarely,1401,Sales,4,2,3456,1,330,3,,,,,,,,,,,,
32,Yes,Travel_Rarely,515,Research & Development,1,3,3456,1,331,4,,,,,,,,,,,,
39,No,Travel_Rarely,1431,Research & Development,1,4,3456,1,332,3,,,,,,,,,,,,
32,No,Non-Travel,976,Sales,26,4,3456,1,333,3,,,,,,,,,,,,
41,No,Travel_Rarely,1411,Research & Development,19,2,3456,1,334,3,,,,,,,,,,,,
40,No,Travel_Rarely,1300,Research & Development,24,2,3456,1,335,1,,,,,,,,,,,,
45,No,Travel_Rarely,252,Research & Development,1,3,3456,1,336,3,,,,,,,,,,,,
31,No,Travel_Frequently,1327,Research & Development,3,4,3456,1,337,2,,,,,,,,,,,,
33,No,Travel_Rarely,832,Research & Development,5,4,3456,1,338,3,,,,,,,,,,,,
34,No,Travel_Rarely,470,Research & Development,2,4,3456,1,339,4,,,,,,,,,,,,
37,No,Travel_Rarely,1017,Research & Development,1,2,3456,1,340,3,,,,,,,,,,,,
45,No,Travel_Frequently,1199,Research & Development,7,4,3456,1,341,1,,,,,,,,,,,,
37,Yes,Travel_Frequently,504,Research & Development,10,3,3456,1,342,1,,,,,,,,,,,,
39,No,Travel_Frequently,505,Research & Development,2,4,3456,1,343,3,,,,,,,,,,,,
29,No,Travel_Rarely,665,Research & Development,15,3,3456,1,346,3,,,,,,,,,,,,
42,No,Travel_Rarely,916,Research & Development,17,2,3456,1,347,4,,,,,,,,,,,,
29,No,Travel_Rarely,1247,Sales,20,2,3456,1,349,4,,,,,,,,,,,,
25,No,Travel_Rarely,685,Research & Development,1,3,3456,1,350,1,,,,,,,,,,,,
42,No,Travel_Rarely,269,Research & Development,2,3,3456,1,351,4,,,,,,,,,,,,
40,No,Travel_Rarely,1416,Research & Development,2,2,3456,1,352,1,,,,,,,,,,,,
51,No,Travel_Rarely,833,Research & Development,1,3,3456,1,353,3,,,,,,,,,,,,
31,Yes,Travel_Frequently,307,Research & Development,29,2,3456,1,355,3,,,,,,,,,,,,
32,No,Travel_Frequently,1311,Research & Development,7,3,3456,1,359,2,,,,,,,,,,,,
38,No,Non-Travel,1327,Sales,2,2,3456,1,361,4,,,,,,,,,,,,
32,No,Travel_Rarely,128,Research & Development,2,1,3456,1,362,4,,,,,,,,,,,,
46,No,Travel_Rarely,488,Sales,2,3,3456,1,363,3,,,,,,,,,,,,
28,Yes,Travel_Rarely,529,Research & Development,2,4,3456,1,364,1,,,,,,,,,,,,
29,No,Travel_Rarely,1210,Sales,2,3,4001,1,366,1,,,,,,,,,,,,
31,No,Travel_Rarely,1463,Research & Development,23,3,4001,1,367,2,,,,,,,,,,,,
25,No,Non-Travel,675,Research & Development,5,2,4001,1,369,2,,,,,,,,,,,,
45,No,Travel_Rarely,1385,Research & Development,20,2,4001,1,372,3,,,,,,,,,,,,
36,No,Travel_Rarely,1403,Research & Development,6,3,4001,1,373,4,,,,,,,,,,,,
55,No,Travel_Rarely,452,Research & Development,1,3,4001,1,374,4,,,,,,,,,,,,
47,Yes,Non-Travel,666,Research & Development,29,4,4001,1,376,1,,,,,,,,,,,,
28,No,Travel_Rarely,1158,Research & Development,9,3,4001,1,377,4,,,,,,,,,,,,
37,No,Travel_Rarely,228,Sales,6,4,4001,1,378,3,,,,,,,,,,,,
21,No,Travel_Rarely,996,Research & Development,3,2,4001,1,379,4,,,,,,,,,,,,
37,No,Non-Travel,728,Research & Development,1,4,4001,1,380,1,,,,,,,,,,,,
35,No,Travel_Rarely,1315,Research & Development,22,3,4001,1,381,2,,,,,,,,,,,,
38,No,Travel_Rarely,322,Sales,7,2,4001,1,382,1,,,,,,,,,,,,
26,No,Travel_Frequently,1479,Research & Development,1,3,4001,1,384,3,,,,,,,,,,,,
50,No,Travel_Rarely,797,Research & Development,4,1,4001,1,385,1,,,,,,,,,,,,
53,No,Travel_Rarely,1070,Research & Development,3,4,4001,1,386,3,,,,,,,,,,,,
42,No,Travel_Rarely,635,Sales,1,1,4001,1,387,2,,,,,,,,,,,,
29,No,Travel_Frequently,442,Sales,2,2,4001,1,388,2,,,,,,,,,,,,
55,No,Travel_Rarely,147,Research & Development,20,2,4001,1,389,2,,,,,,,,,,,,
26,No,Travel_Frequently,496,Research & Development,11,2,4001,1,390,1,,,,,,,,,,,,
37,No,Travel_Rarely,1372,Research & Development,1,3,4001,1,391,4,,,,,,,,,,,,
44,Yes,Travel_Frequently,920,Research & Development,24,3,4001,1,392,4,,,,,,,,,,,,
38,No,Travel_Rarely,688,Research & Development,23,4,4001,1,393,4,,,,,,,,,,,,
26,Yes,Travel_Rarely,1449,Research & Development,16,4,4001,1,394,1,,,,,,,,,,,,
28,No,Travel_Rarely,1117,Research & Development,8,2,4001,1,395,4,,,,,,,,,,,,
49,No,Travel_Frequently,636,Research & Development,10,4,4001,1,396,3,,,,,,,,,,,,
36,No,Travel_Rarely,506,Research & Development,3,3,4001,1,397,3,,,,,,,,,,,,
31,No,Travel_Frequently,444,Sales,5,3,4001,1,399,4,,,,,,,,,,,,
26,Yes,Travel_Rarely,950,Sales,4,4,4001,1,401,4,,,,,,,,,,,,
37,No,Travel_Frequently,889,Research & Development,9,3,4001,1,403,2,,,,,,,,,,,,
42,No,Travel_Frequently,555,Sales,26,3,4001,1,404,3,,,,,,,,,,,,
18,Yes,Travel_Rarely,230,Research & Development,3,3,4001,1,405,3,,,,,,,,,,,,
35,No,Travel_Rarely,1232,Sales,16,3,4001,1,406,3,,,,,,,,,,,,
36,No,Travel_Frequently,566,Research & Development,18,4,4001,1,407,3,,,,,,,,,,,,
51,No,Travel_Rarely,1302,Research & Development,2,3,4001,1,408,4,,,,,,,,,,,,
